,title,goal,area,time,fee,reward,notes,rank
22,Giadrome Assault (Key Quest),Hunt the Giadrome,Snowy Mountains (Night),50mins,200z,2400z,Required for next Urgent,1.0
33,The Land Shark (Key Quest),Hunt the Cephadrome,Desert (Night),50mins,220z,2700z,Required for next Urgent,1.0
34,The Lurking Desert Giant (Key Quest),Hunt the Daimyo Hermitaur,Desert (Day),50mins,350z,4200z,Required for next Urgent,1.0
40,The Mischief Maker (Key Quest),Hunt the Congalala,Swamp (Night),50mins,350z,4200z,Required for next Urgent,1.0
50,Master of the Giant Lake,Hunt the Plesioth,Jungle (Night),50mins,450z,5400z,Required for next Urgent,2.0
54,Evening Hermitaur Sonata,Slay 20 Hermitaurs,Desert (Night),50mins,250z,3000z,Required for next Urgent,2.0
56,Pincer through the Sky,Hunt the Shogun Ceanataur,Swamp (Day),50mins,500z,6000z,Required for next Urgent,2.0
58,Trouble in the Forest,Slay 20 Bullfangos,Forest & Hills (Day),50mins,350z,4200z,Required for next Urgent,2.0
60,The Ioprey Leader,Hunt the Iodrome,Volcano (Night),50mins,350z,4200z,Required for next Urgent,2.0
71,The Runaway Diablos,Hunt the Diablos,Desert (Day),50mins,600z,6000z,Required for next Urgent,3.0
73,Valor in the Swamp Zone,Hunt the Gravios,Swamp (Day),50mins,500z,6000z,Required for next Urgent,3.0
75,The King's Domain,Hunt the Rathalos,Forest & Hills (Day),50mins,500z,6000z,Required for next Urgent,3.0
77,The Queen's Descent,Hunt the Rathian,Jungle (Day),50mins,450z,5400z,Required for next Urgent,3.0
96,The Poison Fanged Duo,Hunt 2 Gendromes,Desert (Day),50mins,420z,5100z,Required for next Urgent,4.0
98,Ultimate Crab Dinner,Hunt 2 Daimyo Hermitaurs,Desert (Day),50mins,620z,8100z,Required for next Urgent,4.0
99,Trapped by Yian Kut-Ku,Hunt the Yian Kut-Ku and Blue Yian Kut-Ku,Swamp (Night),50mins,600z,7200z,Required for next Urgent,4.0
100,Conga Counterattack,Hunt the Congalala,Swamp (Night),50mins,420z,5100z,Required for next Urgent,4.0
106,Two Roars In the Snow,Hunt 2 Blangongas,Snowy Mountains (Night),50mins,1000z,12000z,Required for next Urgent,5.0
109,Red Shadow in the Swampland,Hunt the Red Khezu,Swamp (Day),50mins,620z,7500z,Required for next Urgent,5.0
114,The Underwater Terror,Hunt the Green Plesioth,Desert (Day),50mins,620z,7500z,Required for next Urgent,5.0
118,Eliminate the Rathalos!,Hunt the Rathalos,Forest & Hills (Day),50mins,670z,8100z,Required for next Urgent,5.0
